jd,a,e,i,aop,raan,TA,raan_dot_moon,raan_dot_sun,raan_dot_3b,raan_dot_j2,raan_dot_total,aop_dot_moon,aop_dot_sun,aop_dot_3b,aop_dot_j2,aop_dot_total,La,Le,Li,Laop,Lraan,LTA
2457398.70372685,7140.70591673714,0.0159659955617738,98.59661741183,142.406944440559,106.781796288357,290.923041273824,106.781796288444,106.781796288444,106.781796288444,106.781796288444,106.781796288444,142.406942084864,142.406942084864,142.406942084864,142.406942084864,142.406942084864,7151.25482761796,0.0159693426115434,98.6269211303819,136.597299179006,106.884200045256,296.748020318956
2457398.70375961,7140.67510831819,0.015958378737551,98.5966353649144,142.412164341668,106.781856699338,291.089498643221,106.781796289594,106.781796288968,106.781796290118,106.781829161387,106.781829163062,142.406942081447,142.406942083307,142.40694207989,142.40684440934,142.406844404365,7151.25482761796,0.0159693426115433,98.6269211303819,136.597299179006,106.884200045256,296.919815040982
2457398.70379236,7140.64456803827,0.0159507538358801,98.596653154627,142.417156578112,106.781917221086,291.256198577525,106.781796290744,106.781796289492,106.781796291792,106.781862034331,106.781862037679,142.406942078029,142.40694208175,142.406942074915,142.406746733816,142.406746723867,7151.25482761795,0.0159693426115433,98.6269211303819,136.597299179007,106.884200045256,297.091624328055
2457398.70382512,7140.61429712411,0.0159431213733666,98.5966707802831,142.421920385732,106.781977852623,291.423141821542,106.781796291895,106.781796290016,106.781796293467,106.781894907275,106.781894912297,142.406942074612,142.406942080193,142.40694206994,142.406649058292,142.406649043368,7151.25482761796,0.0159693426115436,98.6269211303819,136.597299179005,106.884200045256,297.263448159783
2457398.70385787,7140.58429679328,0.0159354818685028,98.5966882412039,142.426455014663,106.782038592968,291.590329105648,106.781796293045,106.78179629054,106.781796295141,106.781927780218,106.781927786915,142.406942071194,142.406942078636,142.406942064966,142.406551382768,142.406551362869,7151.25482761796,0.0159693426115434,98.6269211303819,136.597299179006,106.884200045256,297.435286515627
2457398.70389062,7140.55456825414,0.0159278358416363,98.5967055367161,142.430759729475,106.782099441135,291.757761145638,106.781796294195,106.781796291064,106.781796296815,106.781960653162,106.781960661533,142.406942067776,142.406942077079,142.406942059991,142.406453707243,142.40645368237,7151.25482761795,0.0159693426115435,98.6269211303819,136.597299179006,106.884200045256,297.607139374915
2457398.70392338,7140.52511270575,0.0159201838149318,98.5967226661525,142.434833809354,106.782160396134,291.925438642552,106.781796295345,106.781796291588,106.781796298489,106.781993526105,106.781993536151,142.406942064359,142.406942075522,142.406942055016,142.406356031719,142.406356001871,7151.25482761796,0.0159693426115436,98.6269211303819,136.597299179006,106.884200045256,297.779006716829
2457398.70395613,7140.49593133784,0.0159125263123416,98.5967396288511,142.438676548212,106.78222145697,292.093362282564,106.781796296495,106.781796292112,106.781796300164,106.782026399049,106.782026410768,142.406942060941,142.406942073965,142.406942050041,142.406258356195,142.406258321372,7151.25482761796,0.0159693426115438,98.6269211303819,136.597299179005,106.884200045256,297.950888520412
2457398.70398889,7140.46702533078,0.0159048638595659,98.5967564241563,142.442287254866,106.782282622646,292.261532736803,106.781796297646,106.781796292636,106.781796301838,106.782059271992,106.782059285386,142.406942057524,142.406942072407,142.406942045067,142.406160680671,142.406160640873,7151.25482761796,0.0159693426115435,98.6269211303819,136.597299179006,106.884200045256,298.122784764567
2457398.70402164,7140.43839585545,0.0158971969840209,98.5967730514179,142.445665253168,106.782343892156,292.42995066122,106.781796298796,106.78179629316,106.781796303512,106.782092144936,106.782092160004,142.406942054106,142.40694207085,142.406942040092,142.406063005147,142.406062960374,7151.25482761796,0.0159693426115436,98.6269211303819,136.597299179006,106.884200045256,298.294695428056
