jd,x,y,z,xdot,ydot,zdot,lx,ly,lz,lxdot,lydot,lzdot
2457398.70372685,385.24648286048,2243.00298606564,6723.68851429923,2.38102833691639,-6.83464321572246,2.02594518961023,392.025964508668,2223.65242764868,6729.40377869668,2.39496195484757,-6.84116966631965,2.00891986737723
2457398.70375961,391.983090492837,2223.65098351949,6729.39192215155,2.37980821205092,-6.84165572269759,2.00477018779061,398.801946968508,2204.28202113801,6735.05897710812,2.39371463995028,-6.84815352084485,1.98768336087905
2457398.70379236,398.716214804352,2204.27922079307,6735.03537574412,2.37856678834449,-6.84860828996672,1.98357472354718,405.574369060807,2184.89193556124,6740.65404723448,2.39244579504623,-6.85507712039037,1.96642641115985
2457398.70382512,405.44579552611,2184.88786762896,6740.61881744487,2.37730407176162,-6.85550084013483,1.96235898343878,412.34316986427,2165.48234155124,6746.1889314888,2.39115542626263,-6.86194038641317,1.94514920722358
2457398.70385787,412.171772406428,2165.47709398783,6746.14219015021,2.37602006846758,-6.86233329632903,1.94112315429964,419.108288475232,2146.05340996237,6751.66357281944,2.38984353993603,-6.86874324090895,1.92385193836311
2457398.70389062,418.894085211396,2146.04707004709,6751.60543728569,2.37471478482848,-6.86910558219973,1.9198674232378,425.86966400826,2126.60531186899,6757.07791471085,2.3885101426124,-6.87548560641345,1.90253479415843
2457398.70392338,425.61267372548,2126.59796619925,6757.00850280685,2.37338822741136,-6.87581762192192,1.89859197763342,432.627235596744,2107.13821856393,6762.4319011844,2.38715524104731,-6.88216740600381,1.88119796447499
2457398.70395613,432.327477752071,2107.12995305051,6762.35133119996,2.37204040298437,-6.88246934019628,1.87729700513729,439.380942393484,2087.65230155693,6767.72547679918,2.38577884220604,-6.88878856329991,1.85984163946189
2457398.70398889,439.038437114054,2087.64320141932,6767.63386748277,2.37067131851679,-6.88906066225041,1.85598269366918,446.130723571295,2068.14773257311,6772.95858665279,2.38438095326369,-6.89534900246568,1.83846600955018
2457398.70402164,445.745491654389,2068.13788233475,6772.85605720528,2.3692809811792,-6.89559151384,1.83464923141622,452.876518323588,2048.62468355145,6778.13117638217,2.38296158160534,-6.90184864821046,1.81707126545106
2457398.7040544,452.448581236674,2048.6141670351,6778.01784645051,2.36786939834355,-6.90206182125002,1.81329680683131,459.618265864977,2029.08332664322,6783.24319216435,2.38152073482615,-6.90828742579032,1.79565759815417
